	Axis1_17.97	Axis2_9.11	Axis3_4.54	Axis4_3.30	Axis5_2.87
41LL_Month3_24	0.0464329	-0.036842106	0.028535632	-0.016233441	-0.018425221
41LL_Month3_2	-0.044177573	0.037890266	0.017065088	-0.022419297	-0.007273115
41LL_Month3_3	0.054130243	-0.034966239	0.011734944	-0.009368057	-0.00191483
41LL_Month3_4	-0.029090481	0.026129608	0.024853532	0.008197865	-0.004272117
41LL_Month3_5	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month3_7	0.022511614	-0.008849571	-0.004473903	0.002795829	-0.001344105
41LL_Month3_8	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month3_9	-0.009735306	0.008053803	-0.004431388	0.00343044	0.002708765
41LL_Month6_10	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_11	0.007043512	-0.004537251	0.00055664	-8.26E-05	0.000284919
41LL_Month6_12	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_13	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_14	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41LL_Month6_15	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_16	0.007970528	-0.004881737	0.001264494	-0.000594062	0.00054386
41LL_Month6_17	0.008009105	-0.004816909	0.001389039	-0.000652864	0.000709002
41LL_Month6_18	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_19	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_1	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_20	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_21	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_22	0.008325303	-0.0029728	0.001749167	-0.00202012	0.002096762
41LL_Month6_23	0.008009105	-0.004816909	0.001389039	-0.000652864	0.000709002
41LL_Month6_24	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_2	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41LL_Month6_3	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_4	0.039375726	-0.013785807	0.005280425	0.006445999	-0.012558679
41LL_Month6_5	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_6	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_7	0.048786663	-0.030386118	0.009976967	-0.005504277	0.005428872
41LL_Month6_8	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month6_9	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month10_10	0.008174325	-0.004612488	0.001586662	-0.000692266	0.000786315
41L_Month10_11	0.008379472	-0.002624593	0.00040625	-0.000238579	0.00066625
41L_Month10_12	-0.007111423	0.007782992	-0.003508323	0.002913003	0.001072046
41L_Month10_13	0.009040661	-0.003995627	0.001157763	-0.000705512	0.000828982
41L_Month10_14	0.006264162	-0.004263324	0.000803049	6.56E-05	-0.006176086
41L_Month10_15	0.008015269	-0.004694614	0.001329493	-0.000692299	0.00073786
41L_Month10_16	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month10_17	0.008015269	-0.004694614	0.001329493	-0.000692299	0.00073786
41L_Month10_18	0.009040661	-0.003995627	0.001157763	-0.000705512	0.000828982
41L_Month10_19	-0.014739137	-0.007058457	-0.053848384	-0.057874137	0.000796914
41L_Month10_1	-0.009211617	0.008536248	-0.004281731	0.003764641	-0.006071048
41L_Month10_20	-0.007111423	0.007782992	-0.003508323	0.002913003	0.001072046
41L_Month10_21	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Month10_22	-0.009735306	0.008053803	-0.004431388	0.00343044	0.002708765
41L_Month10_23	-0.001783963	0.003093242	-0.002079686	0.000340043	0.003091841
41L_Month10_24	-0.003423017	0.005407323	-0.003154357	0.001303645	-0.00388405
41L_Month10_2	0.008015269	-0.004694614	0.001329493	-0.000692299	0.00073786
41L_Month10_3	0.000613896	0.003101191	-0.001041161	-0.000453476	0.001526992
41L_Month10_4	-0.010093447	0.00776289	-0.004601478	0.00348734	0.002786738
41L_Month10_5	-0.010317491	0.012175396	-0.004948456	0.003171395	0.004924645
41L_Month10_6	0.008015269	-0.004694614	0.001329493	-0.000692299	0.00073786
41L_Month10_7	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month10_8	0.009040661	-0.003995627	0.001157763	-0.000705512	0.000828982
41L_Month10_9	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Month1_10	-0.0220486	0.014983044	-0.014235121	-0.02084217	0.002058068
41L_Month1_11	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
41L_Month1_12	-0.022152594	0.013909862	-0.013649205	-0.020769406	-0.007960378
41L_Month1_13	-0.020352349	0.018065651	0.025403658	0.004107785	-0.009715367
41L_Month1_14	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
