	Axis1_7.01	Axis2_2.88	Axis3_2.11	Axis4_1.76	Axis5_1.46	Axis6_1.39	Axis7_1.31	Axis8_1.27	Axis9_1.25	Axis10_1.23
23LL_Month3_20	0.04865759	0.023966907	0.020348246	-0.02046325	0.007562651	-0.006819278	-0.038187448	-0.002751462	-0.02331482	0.047752103
23LL_Month3_21	0.034344431	0.028520416	0.013630023	0.006568771	-0.050594019	0.001937436	0.022504018	0.003351976	0.006064515	-0.021256709
23LL_Month3_22	0.023304193	-0.010640733	-0.002053288	0.003141353	-0.002864385	0.021759252	0.001411506	0.009719223	0.013043879	0.00843557
23LL_Month3_23	0.024387929	0.000979221	0.009448675	0.000848969	0.00356881	-0.021200737	0.008966462	-0.006230011	0.028181983	0.017854908
23LL_Month3_24	0.012109176	-0.007557241	-0.00998914	0.011222393	0.019099026	0.001444447	0.001539333	0.008373667	-0.009731702	-0.003808443
23LL_Month3_2	-0.038023726	0.011907098	-0.014318295	-0.004093419	-0.001394797	-0.000585382	-0.000765003	0.002040599	-0.000136869	0.001422712
23LL_Month3_3	0.001702916	0.00058285	0.001688181	0.000865482	-7.65E-05	1.72E-05	-0.000206282	0.000223173	-0.000450901	0.000404788
23LL_Month3_4	-0.041443133	0.011975615	-0.015958586	-0.005025403	-0.001919388	-0.0009134	-0.000430984	0.002658258	-0.000407462	0.001720992
23LL_Month3_5	-0.037284363	0.011380596	-0.014121946	-0.004191157	-0.001389832	-0.000635118	-0.000624291	0.001776539	-0.000443056	0.00158919
23LL_Month3_6	0.001752001	0.000661581	0.001826037	0.00092789	1.51E-05	0.000126488	-9.68E-05	0.000199267	-0.000396307	0.000515652
