feature-id	short-id	qiita_sample_name	box_id	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	host_age	host_subject_id	isolate_number	mouse_dob	mouse_id	sex	mouse	dam	sire	date_collected	bacteria_strain	extraction_method	extraction_kit	run	host_age_units	tube_id	plate
23B_Month6_23_S504_AZ20_mut	23B_Month6_23	12986.23B.Month6.23	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	23	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_24_S505_AZ20_mut	23B_Month6_24	12986.23B.Month6.24	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	24	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_3_S484_AZ20_mut	23B_Month6_3	12986.23B.Month6.3	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	3	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_4_S485_AZ20_mut	23B_Month6_4	12986.23B.Month6.4	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	4	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_5_S486_AZ20_mut	23B_Month6_5	12986.23B.Month6.5	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	5	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_6_S487_AZ20_mut	23B_Month6_6	12986.23B.Month6.6	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	6	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_7_S488_AZ20_mut	23B_Month6_7	12986.23B.Month6.7	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	7	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_8_S489_AZ20_mut	23B_Month6_8	12986.23B.Month6.8	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	8	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_9_S49_AZ20_mut	23B_Month6_9	12986.23B.Month6.9		23	Month6	1/16/18 10:00	7/12/17 0:00	RC	10.0	23B	9	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day3_11_S81_AZ20_mut	23LL_Day3_11	12986.23LL.Day3.11		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	11	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_12_S89_AZ20_mut	23LL_Day3_12	12986.23LL.Day3.12		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	12	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_13_S2_AZ20_mut	23LL_Day3_13	12986.23LL.Day3.13		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	13	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_14_S1_AZ20_mut	23LL_Day3_14	12986.23LL.Day3.14		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	14	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_15_S18_AZ20_mut	23LL_Day3_15	12986.23LL.Day3.15		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	15	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_16_S26_AZ20_mut	23LL_Day3_16	12986.23LL.Day3.16		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	16	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_17_S34_AZ20_mut	23LL_Day3_17	12986.23LL.Day3.17		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	17	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_19_S5_AZ20_mut	23LL_Day3_19	12986.23LL.Day3.19		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	19	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_2_S9_AZ20_mut	23LL_Day3_2	12986.23LL.Day3.2		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	2	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_20_S58_AZ20_mut	23LL_Day3_20	12986.23LL.Day3.20		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	20	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_23_S82_AZ20_mut	23LL_Day3_23	12986.23LL.Day3.23		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	23	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_24_S9_AZ20_mut	23LL_Day3_24	12986.23LL.Day3.24		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	24	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_3_S17_AZ20_mut	23LL_Day3_3	12986.23LL.Day3.3		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	3	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_4_S25_AZ20_mut	23LL_Day3_4	12986.23LL.Day3.4		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	4	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_5_S_AZ20_mut	23LL_Day3_5	12986.23LL.Day3.5		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	5	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_7_S49_AZ20_mut	23LL_Day3_7	12986.23LL.Day3.7		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	7	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_8_S57_AZ20_mut	23LL_Day3_8	12986.23LL.Day3.8		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	8	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day3_9_S65_AZ20_mut	23LL_Day3_9	12986.23LL.Day3.9		23	Day3	7/15/17 10:00	7/12/17	RC	11.0	23LL	9	5/2/17	23LL	male	23LL	A1	A	7/15/17	AZ20	magnetic bead	Thermo CORE	2.0			
23LL_Day7_1_S74_AZ20_mut	23LL_Day7_1	12986.23LL.Day7.1	9.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	1	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_10_S752_AZ20_mut	23LL_Day7_10	12986.23LL.Day7.10	10.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	10	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_11_S75_AZ20_mut	23LL_Day7_11	12986.23LL.Day7.11	10.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	11	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_12_S754_AZ20_mut	23LL_Day7_12	12986.23LL.Day7.12	10.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	12	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_13_S95_AZ20_mut	23LL_Day7_13	12986.23LL.Day7.13	13.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	13	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_15_S95_AZ20_mut	23LL_Day7_15	12986.23LL.Day7.15	13.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	15	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_16_S954_AZ20_mut	23LL_Day7_16	12986.23LL.Day7.16	14.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	16	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_17_S955_AZ20_mut	23LL_Day7_17	12986.23LL.Day7.17	14.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	17	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_18_S956_AZ20_mut	23LL_Day7_18	12986.23LL.Day7.18	14.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	18	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_19_S957_AZ20_mut	23LL_Day7_19	12986.23LL.Day7.19	14.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	19	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_2_S744_AZ20_mut	23LL_Day7_2	12986.23LL.Day7.2	9.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	2	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
23LL_Day7_20_S958_AZ20_mut	23LL_Day7_20	12986.23LL.Day7.20	14.0	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10.0	23LL	20	5/2/17 0:00	23LL	male	23LL	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0			
