feature-id	short-id	qiita_sample_name	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	host_age	host_age_units	host_subject_id	isolate_number	mouse_dob	mouse_id	sex	tube_id	mouse	dam	sire	date_collected	plate
41LL_Month3_5_S1461_AZ51_mut	41LL_Month3_5	12986.41LL.Month3.5	41	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	41LL	5	7/6/17	41LL	male	41LL_Month3_5	41LL	A1	A	12/12/17	10
42N_Month3_15_S154_AZ51_mut	42N_Month3_15	12986.42N.Month3.15	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42N	15	7/6/17	42N	female	42N_Month3_15	42N	A1	A	12/12/17	11
42R_Day7_14_S16_AZ51_mut	42R_Day7_14	12986.42R.Day7.14	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42R	14	7/6/17	42R	female	42R_Day7_14	42R	A1	A	9/20/17	5
44B_Day7_12_S287_AZ51_mut	44B_Day7_12	12986.44B.Day7.12	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44B	12	7/3/17	44B	female	44B_Day7_12	44B	A2	A	9/20/17	7
41LL_Day7_1_S29_AZ51_mut	41LL_Day7_1	12986.41LL.Day7.1	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41LL	1	7/6/17	41LL	male	41LL_Day7_1	41LL	A1	A	9/20/17	4
44R_Month1_4_S509_AZ51_mut	44R_Month1_4	12986.44R.Month1.4	44	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	44R	4	7/3/17	44R	female	44R_Month1_4	44R	A2	A	10/17/17	25
46R_Month1_20_S1872_AZ51_mut	46R_Month1_20	12986.46R.Month1.20	46	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	46R	20	7/3/17	46R	female	46R_Month1_20	46R	B1	B	10/17/17	23
46R_Month3_19_S248_AZ51_mut	46R_Month3_19	12986.46R.Month3.19	46	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	46R	19	7/3/17	46R	female	46R_Month3_19	46R	B1	B	12/12/17	15
44N_Day7_8_S249_AZ51_mut	44N_Day7_8	12986.44N.Day7.8	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44N	8	7/3/17	44N	female	44N_Day7_8	44N	A2	A	9/20/17	7
44R_Day3_24_S478_AZ51_mut	44R_Day3_24	12986.44R.Day3.24	44	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	44R	24	7/3/17	44R	female	44R_Day3_24	44R	A2	A	9/16/17	24
42L_Day7_13_S6_AZ51_mut	42L_Day7_13	12986.42L.Day7.13	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42L	13	7/6/17	42L	female	42L_Day7_13	42L	A1	A	9/20/17	5
43L_Day7_12_S187_AZ51_mut	43L_Day7_12	12986.43L.Day7.12	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43L	12	7/3/17	43L	male	43L_Day7_12	43L	B1	B	9/20/17	6
41R_Month1_19_S532_AZ51_mut	41R_Month1_19	12986.41R.Month1.19	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41R	19	7/6/17	41R	male	41R_Month1_19	41R	A1	A	10/17/17	25
42R_Month3_15_S1544_AZ51_mut	42R_Month3_15	12986.42R.Month3.15	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42R	15	7/6/17	42R	female	42R_Month3_15	42R	A1	A	12/12/17	11
42R_Month3_8_S158_AZ51_mut	42R_Month3_8	12986.42R.Month3.8	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42R	8	7/6/17	42R	female	42R_Month3_8	42R	A1	A	12/12/17	11
42L_Month3_22_S1598_AZ51_mut	42L_Month3_22	12986.42L.Month3.22	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42L	22	7/6/17	42L	female	42L_Month3_22	42L	A1	A	12/12/17	11
46R_Month3_16_S224_AZ51_mut	46R_Month3_16	12986.46R.Month3.16	46	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	46R	16	7/3/17	46R	female	46R_Month3_16	46R	B1	B	12/12/17	15
44B_Month6_10_S1791_AZ51_mut	44B_Month6_10	12986.44B.Month6.10	44	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	44B	10	7/3/17	44B	female	44B_Month6_10	44B	A2	A	3/13/18	19
45R_Day7_18_S1374_AZ51_mut	45R_Day7_18	12986.45R.Day7.18	45	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	45R	18	7/3/17	45R	female	45R_Day7_18	45R	B1	B	9/20/17	8
43N_Day7_3_S113_AZ51_mut	43N_Day7_3	12986.43N.Day7.3	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43N	3	7/3/17	43N	male	43N_Day7_3	43N	B1	B	9/20/17	6
44N_Day7_6_S233_AZ51_mut	44N_Day7_6	12986.44N.Day7.6	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44N	6	7/3/17	44N	female	44N_Day7_6	44N	A2	A	9/20/17	7
41N_Month6_14_S394_AZ51_mut	41N_Month6_14	12986.41N.Month6.14	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41N	14	7/6/17	41N	male	41N_Month6_14	41N	A1	A	3/13/18	16
41L_Month6_21_S452_AZ51_mut	41L_Month6_21	12986.41L.Month6.21	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41L	21	7/6/17	41L	male	41L_Month6_21	41L	A1	A	3/13/18	16
41B_Month6_12_S569_AZ51_mut	41B_Month6_12	12986.41B.Month6.12	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41B	12	7/6/17	41B	male	41B_Month6_12	41B	A1	A	3/13/18	17
46R_Month6_4_S701_AZ51_mut	46R_Month6_4	12986.46R.Month6.4	46	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	46R	4	7/3/17	46R	female	46R_Month6_4	46R	B1	B	3/13/18	21
44L_Month3_19_S148_AZ51_mut	44L_Month3_19	12986.44L.Month3.19	44	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	44L	19	7/3/17	44L	female	44L_Month3_19	44L	A2	A	12/12/17	13
44B_Month3_6_S143_AZ51_mut	44B_Month3_6	12986.44B.Month3.6	44	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	44B	6	7/3/17	44B	female	44B_Month3_6	44B	A2	A	12/12/17	13
43B_Day7_24_S192_AZ51_mut	43B_Day7_24	12986.43B.Day7.24	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43B	24	7/3/17	43B	male	43B_Day7_24	43B	B1	B	9/20/17	6
46L_Month3_5_S227_AZ51_mut	46L_Month3_5	12986.46L.Month3.5	46	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	46L	5	7/3/17	46L	female	46L_Month3_5	46L	B1	B	12/12/17	15
46N_Month3_20_S250_AZ51_mut	46N_Month3_20	12986.46N.Month3.20	46	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	46N	20	7/3/17	46N	female	46N_Month3_20	46N	B1	B	12/12/17	15
42L_Day7_15_S22_AZ51_mut	42L_Day7_15	12986.42L.Day7.15	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42L	15	7/6/17	42L	female	42L_Day7_15	42L	A1	A	9/20/17	5
41N_Month6_22_S458_AZ51_mut	41N_Month6_22	12986.41N.Month6.22	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41N	22	7/6/17	41N	male	41N_Month6_22	41N	A1	A	3/13/18	16
44R_Day7_20_S254_AZ51_mut	44R_Day7_20	12986.44R.Day7.20	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44R	20	7/3/17	44R	female	44R_Day7_20	44R	A2	A	9/20/17	7
42N_Day7_10_S75_AZ51_mut	42N_Day7_10	12986.42N.Day7.10	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42N	10	7/6/17	42N	female	42N_Day7_10	42N	A1	A	9/20/17	5
45R_Day7_8_S1389_AZ51_mut	45R_Day7_8	12986.45R.Day7.8	45	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	45R	8	7/3/17	45R	female	45R_Day7_8	45R	B1	B	9/20/17	8
42N_Month3_12_S1611_AZ51_mut	42N_Month3_12	12986.42N.Month3.12	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42N	12	7/6/17	42N	female	42N_Month3_12	42N	A1	A	12/12/17	11
41R_Month3_1_S1431_AZ51_mut	41R_Month3_1	12986.41R.Month3.1	41	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	41R	1	7/6/17	41R	male	41R_Month3_1	41R	A1	A	12/12/17	10
43B_Month3_20_S64_AZ51_mut	43B_Month3_20	12986.43B.Month3.20	43	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	43B	20	7/3/17	43B	male	43B_Month3_20	43B	B1	B	12/12/17	12
46N_Month3_21_S258_AZ51_mut	46N_Month3_21	12986.46N.Month3.21	46	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	46N	21	7/3/17	46N	female	46N_Month3_21	46N	B1	B	12/12/17	15
46N_Month6_9_S737_AZ51_mut	46N_Month6_9	12986.46N.Month6.9	46	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	46N	9	7/3/17	46N	female	46N_Month6_9	46N	B1	B	3/13/18	21
44L_Day7_19_S244_AZ51_mut	44L_Day7_19	12986.44L.Day7.19	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44L	19	7/3/17	44L	female	44L_Day7_19	44L	A2	A	9/20/17	7
41L_Month1_22_S554_AZ51_mut	41L_Month1_22	12986.41L.Month1.22	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41L	22	7/6/17	41L	male	41L_Month1_22	41L	A1	A	10/17/17	25
42L_Month3_21_S159_AZ51_mut	42L_Month3_21	12986.42L.Month3.21	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42L	21	7/6/17	42L	female	42L_Month3_21	42L	A1	A	12/12/17	11
44N_Month1_4_S1837_AZ51_mut	44N_Month1_4	12986.44N.Month1.4	44	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	44N	4	7/3/17	44N	female	44N_Month1_4	44N	A2	A	10/17/17	23
