	41B_Day7	41B_Month1	41B_Month3	41B_Month6	41LL_Day7	41LL_Month3	41LL_Month6	41L_Day3	41L_Day7	41L_Month1	41L_Month10	41L_Month3	41L_Month6	41N_Day7	41N_Month1	41N_Month3	41N_Month6	41R_Day3	41R_Day7	41R_Month1	41R_Month10	41R_Month3	41R_Month6	42L_Day7	42L_Month3	42L_Month6	42N_Day7	42N_Month3	42N_Month6	42R_Day7	42R_Month3	42R_Month6	43B_Day7	43B_Month6	43L_Day7	43L_Month6	43N_Day7	43N_Month6	43R_Day7	43R_Month6	44B_Day7	44B_Month6	44L_Day7	44L_Month6	44N_Day7	44N_Month1	44N_Month6	44R_Day3	44R_Day7	44R_Month1	44R_Month10	44R_Month6	45L_Day7	45L_Month3	45N_Day7	45N_Month3	45R_Day7	46L_Day7	46L_Month6	46N_Day3	46N_Day7	46N_Month1	46N_Month10	46N_Month6	46R_Day7	46R_Month1	46R_Month6
group_215	24	10	17	20	15	19	21	22	19	21	22	14	18	10	12	17	20	20	16	22	22	17	17	24	15	17	22	17	18	21	15	19	22	22	24	22	23	21	22	21	24	19	23	14	24	9	13	20	23	21	24	14	19	19	22	17	21	17	18	21	22	19	22	19	19	16	18
group_219	24	10	17	20	15	19	21	22	19	21	22	14	18	10	12	17	20	20	16	22	22	17	17	24	15	17	22	17	18	21	15	19	22	22	24	22	23	21	22	21	24	19	23	14	24	9	13	20	23	21	24	14	19	19	22	17	21	17	18	21	22	19	22	19	19	16	18
group_18	23	10	18	20	15	17	22	21	16	20	23	15	22	3	12	18	24	20	10	13	22	19	23	24	15	12	23	18	18	24	16	16	24	22	23	22	23	23	22	24	23	19	23	16	22	9	18	22	24	18	22	16	21	21	22	18	22	17	14	21	23	10	15	17	19	12	13
group_1	15	24	21	24	24	17	24	22	23	20	17	19	24	23	24	21	24	22	24	21	21	11	23	10	16	24	10	19	24	15	23	24	16	24	5	22	11	23	15	24	9	23	11	24	14	23	24	22	9	18	21	24	13	18	16	12	12	3	22	21	8	22	19	17	4	22	23
rop	15	24	21	24	24	17	24	22	23	20	17	19	23	24	23	20	24	22	24	21	21	11	23	10	16	24	10	19	23	15	23	24	16	24	5	22	11	22	15	24	9	22	11	24	14	23	24	22	9	18	21	24	13	18	16	12	12	3	21	21	8	22	19	17	4	21	24
cai	15	23	21	24	24	17	22	22	23	20	17	15	24	24	24	21	24	22	24	21	21	11	23	10	14	24	10	19	24	15	23	24	16	24	5	22	11	23	15	24	9	23	11	24	14	23	24	22	9	18	21	24	13	18	16	12	12	3	22	21	8	22	19	17	4	22	24
group_7	15	24	21	23	24	17	24	22	23	20	17	19	24	24	24	21	23	22	24	21	21	10	23	10	16	24	10	19	23	15	22	22	16	24	5	22	11	23	15	24	9	23	11	24	14	23	24	22	9	18	21	24	13	18	16	12	12	3	22	21	8	22	19	16	4	22	24
mbeC	15	24	21	24	24	16	24	22	23	20	17	19	24	23	24	21	24	22	24	21	21	10	23	10	16	24	10	18	23	15	23	24	16	24	5	22	11	22	15	24	9	22	11	24	14	22	23	22	9	18	21	24	13	18	16	12	12	3	21	21	8	22	19	17	4	21	24
group_296	14	23	21	24	24	17	24	22	23	20	17	19	23	24	24	21	24	22	24	21	21	11	22	10	16	23	10	18	23	15	23	23	16	23	5	22	11	23	15	24	9	23	11	24	14	22	23	21	8	18	21	23	13	17	16	12	12	3	22	21	8	22	19	16	4	20	23
group_10	23	0	18	20	14	19	20	21	15	20	20	14	22	3	3	17	24	21	9	16	22	20	23	24	15	12	23	19	18	24	18	15	24	22	23	22	23	23	23	24	23	19	23	16	23	1	18	22	24	19	23	16	21	21	22	16	22	17	16	22	23	11	15	17	19	1	14
