	observed_features
44R_Month1_22	201
44R_Month1_23	71
44R_Month1_24	206
44R_Month1_2	76
44R_Month1_3	71
44R_Month1_4	131
44R_Month1_5	90
44R_Month1_6	60
44R_Month1_7	81
44R_Month1_8	63
44R_Month1_9	70
44R_Month6_10	7
44R_Month6_11	68
44R_Month6_12	7
44R_Month6_13	139
44R_Month6_14	71
44R_Month6_15	71
44R_Month6_16	71
44R_Month6_17	70
44R_Month6_18	71
44R_Month6_19	71
44R_Month6_1	71
44R_Month6_20	71
44R_Month6_21	8
44R_Month6_22	8
44R_Month6_23	70
44R_Month6_24	71
44R_Month6_2	71
44R_Month6_3	71
44R_Month6_4	71
44R_Month6_5	71
44R_Month6_6	71
44R_Month6_7	8
44R_Month6_8	8
44R_Month6_9	8
45L_Day7_10	71
45L_Day7_11	8
45L_Day7_12	63
45L_Day7_13	63
45L_Day7_14	71
45L_Day7_15	63
45L_Day7_16	63
45L_Day7_17	69
45L_Day7_18	71
45L_Day7_19	71
45L_Day7_1	63
45L_Day7_20	71
45L_Day7_21	63
45L_Day7_22	71
45L_Day7_23	59
45L_Day7_24	8
45L_Day7_2	71
45L_Day7_3	61
45L_Day7_4	71
45L_Day7_5	71
45L_Day7_6	63
45L_Day7_7	63
45L_Day7_8	71
45L_Day7_9	63
45L_Month3_10	71
45L_Month3_11	69
45L_Month3_12	86
